"title","body","labels","milestone","state"
"E14: Countdown timer hero component + category boost logic","Build auto-updating countdown timer hero (Tanya's primary urgency trigger). Implement category boost: seasonal items float to top of shop page. Event inquiry form for bulk/display orders.

**Epic:** E14 | **Sprint:** S8 | **Points:** ~5","type:feature,priority:p0,area:frontend,view:fireworks,persona:tanya","M4 — Alpha: Three-View Storefront","open"
"E15: Customer profiles — purchaseHistory, inquiryHistory, lifetimeValue, segments","Build `customers/{uid}` Firestore documents. Track: purchaseHistory, inquiryHistory, lifetimeValue, first/last seen, categoryPreference, viewPreference, engagementScore. Cloud Functions write; manager reads.

**Epic:** E15 | **Sprint:** S18 | **Points:** ~8","type:feature,priority:p0,area:crm,area:backend,persona:kevin,persona:marcus,persona:jordan","M9 — CRM & Retention","open"
"E15: VIP flag + reseller tiers (bronze/silver/gold) — Marcus, Kevin, Jordan primary targets","Implement `vipFlag` and `resellerTier` fields. VIP triggers: Marcus (deep engagement, long session, high photography-click rate), Kevin (high-frequency enquiries), Jordan (editorial engagement). Admin can manually apply VIP flag.

**Epic:** E15 | **Sprint:** S18 | **Points:** ~5","type:feature,priority:p1,area:crm,persona:marcus,persona:kevin,persona:jordan","M9 — CRM & Retention","open"
"E15: Automated follow-ups — 48h pending staff reminder, 72h quoted customer gentle follow-up","Cloud Functions: 48h after pawnRequest created with no staff response → staff reminder email. 72h after quote sent with no customer response → gentle customer follow-up email. `autoFollowUp` tested as M9 gate.

**Epic:** E15 | **Sprint:** S18 | **Points:** ~5","type:feature,priority:p1,area:backend,area:crm","M9 — CRM & Retention","open"
"E15: CRM dashboard /admin/crm — full customer profile view, engagement scoring","Build `/admin/crm` dashboard: customer list (searchable/filterable by segment, VIP, viewTag), individual customer profile view with full history, engagement score, VIP flag toggle, reseller tier selector.

**Epic:** E15 | **Sprint:** S18 | **Points:** ~8","type:feature,priority:p1,area:frontend,area:crm","M9 — CRM & Retention","open"
"E15: Marcus cross-view browsing flag — multi-view sessions tracked in CRM","Set `crossViewBrowsing: true` flag on `customers/{uid}` when a session includes interactions across 2+ view namespaces (pawn + cannabis + fireworks). Trigger `engagementScore +15`. Surface in CRM dashboard.

**Epic:** E15 | **Sprint:** S18 | **Points:** ~3","type:feature,priority:p1,area:backend,area:crm,persona:marcus","M9 — CRM & Retention","open"
"E16: Return/dispute tickets, dispute tracking, refund log, eBay dispute workflow","Build post-sale operations: return/dispute ticket creation, status tracking (open/investigating/resolved), refund log, staff resolution notes. eBay dispute workflow integration (pull dispute from eBay API, respond via admin).

**Epic:** E16 | **Sprint:** S17 | **Points:** ~8","type:feature,priority:p1,area:frontend,area:backend,persona:kevin,persona:dale","M8 — AI & Post-Sale","open"
"E17: Social proof widgets — transaction counters, years in business, testimonials, recently sold strip","Build social proof widget set: transaction counters, years in business badge, testimonials module, recently sold strip (primary trigger for Dale and Kevin). Recently sold data sourced from Firestore `onItemSold` events.

**Epic:** E17 | **Sprint:** S14 | **Points:** ~5","type:feature,priority:p1,area:frontend,persona:dale,persona:kevin,persona:sandra","M7 — Beta: Full Feature Set","open"
"E17: Live activity feed — rate-limited, privacy-safe","Build live activity feed showing what other users are currently viewing. Rate-limited to prevent performance impact. Privacy-safe: no PII, generalised as 'Someone from Cornwall is viewing this'. Primary for Sandra's sense of shared discovery.

**Epic:** E17 | **Sprint:** S14 | **Points:** ~5","type:feature,priority:p1,area:frontend,area:backend,persona:sandra","M7 — Beta: Full Feature Set","open"
"E17: Scarcity indicators — limited edition flag for Marcus + urgency modules","Build scarcity/limited-edition flag display (Marcus responds to rarity, not manufactured urgency). Add low-stock urgency module. Hold countdown badge on reserved items. All scarcity signals must be authentic — not fake.

**Epic:** E17 | **Sprint:** S14 | **Points:** ~5","type:feature,priority:p1,area:frontend,persona:marcus","M7 — Beta: Full Feature Set","open"
"E17: A/B experiment framework — Firebase Remote Config + GA4","Implement A/B experiment framework using Firebase Remote Config for variant assignment and GA4 custom events for conversion tracking. Document experiment runbook in `/docs/project-management/ab-testing.md`.

**Epic:** E17 | **Sprint:** S14 | **Points:** ~5","type:feature,priority:p2,area:backend,area:frontend","M7 — Beta: Full Feature Set","open"
"E18: generateAIDescription Cloud Function — GPT-4o, staff review gate","Build `generateAIDescription` callable Cloud Function. Prompt GPT-4o with item details + photography context. Staff reviews before publish — no auto-publish. For Marcus items: prompt must include provenance, cultural context, and collecting significance.

**Epic:** E18 | **Sprint:** S17 | **Points:** ~8","type:feature,priority:p0,area:ai,area:backend,persona:marcus,persona:jordan","M8 — AI & Post-Sale","open"
"E18: eBay title optimization + auto-tagging (min 3 suggestions) + category recommendation","Extend AI assistant: eBay-optimised title generation (character limits, keyword density). Auto-tagging with minimum 3 tag suggestions per item. Category recommendation from item description. Staff can accept/edit all suggestions.

**Epic:** E18 | **Sprint:** S17 | **Points:** ~5","type:feature,priority:p1,area:ai,area:inventory,persona:dale","M8 — AI & Post-Sale","open"
"E18: Price suggestion — eBay sold comps for Dale + duplicate detection","Build price suggestion feature: query eBay sold comps API, return price range (not a specific price). Display to staff as guidance only. Implement duplicate detection: flag items with similar title/category already in Firestore.

**Epic:** E18 | **Sprint:** S17 | **Points:** ~5","type:feature,priority:p1,area:ai,area:backend,persona:dale","M8 — AI & Post-Sale","open"
"E19: Editorial CMS — blog/article admin UI + articles Firestore collection","Build editorial CMS: admin article editor (title, body, viewTag, slug, seoMeta, publishedAt). Public article list and detail pages per view. Include RSS feed. `articles/{id}` Firestore collection.

**Epic:** E19 | **Sprint:** S19 | **Points:** ~8","type:feature,priority:p0,area:frontend,area:backend,persona:marcus,persona:jordan,persona:sandra","M8 — AI & Post-Sale","open"
"E19: Brand narrative — About page, founder story, Akwesasne identity, Warriors of Akwesasne series","Write and publish: About page with founder story, Akwesasne identity section (Dapper. Debonair. Distinctly Akwesasne.). Launch Warriors of Akwesasne editorial series. **All Kanien'kéha phrases require community review and approval before publication.** Marcus and Makoonsii primary audiences.

**Epic:** E19 | **Sprint:** S19 | **Points:** ~5","type:feature,priority:p0,area:frontend,persona:makoonsii,persona:marcus","M8 — AI & Post-Sale","open"
"E19: Finds of the Week — launch edition published at M11","Publish first Finds of the Week editorial at launch. Feature the shop owner's personal selections across all three views. Curated weekly highlights format. Marcus and Sandra primary audience. Must be live at M11.

**Epic:** E19 | **Sprint:** S19 | **Points:** ~3","type:feature,priority:p0,area:frontend,persona:marcus,persona:sandra","M11 — Production Launch","open"
"E19: Local SEO landing pages (≥6) + FAQ engine + buying guides","Create minimum 6 local SEO landing pages (Cornwall, Akwesasne, surrounding region — per view). Build FAQ engine (admin-editable Q&A). Publish initial buying guides (collectibles, cannabis wellness, fireworks safety).

**Epic:** E19 | **Sprint:** S19 | **Points:** ~8","type:feature,priority:p1,area:frontend,persona:dale,persona:jordan","M11 — Production Launch","open"
"Launch: DNS cutover — A/AAAA records → Firebase prod hosting","Execute DNS cutover. Point A/AAAA records to Firebase prod hosting IPs. Verify SSL certificate auto-provisioned. Test all three view URLs in production.

**Sprint:** S19 | **Week:** W38","type:feature,priority:p0","M11 — Production Launch","open"
"Launch: eBay production OAuth credentials + test listing","Switch eBay integration to production OAuth credentials. Publish a test listing and immediately end it. Verify status syncs back to Firestore.

**Sprint:** S19 | **Week:** W38","type:feature,priority:p0,area:backend","M11 — Production Launch","open"
"Launch: SendGrid sending domain DKIM/DMARC verification","Verify SendGrid sending domain with DKIM and DMARC records. Send a test pawn inquiry email and confirm receipt. Check spam score.

**Sprint:** S19 | **Week:** W38","type:feature,priority:p0,area:backend","M11 — Production Launch","open"
"Launch: Staff MFA enrolment — all admin/manager/inventory_staff accounts","Ensure all staff accounts have MFA enrolled before go-live. Record confirmation in launch-day checklist. Developer + staff must co-verify.

**Sprint:** S19 | **Week:** W38","type:compliance,priority:p0","M11 — Production Launch","open"
"Launch: Record staff Loom training — all three views + admin portal","Record Loom walkthrough covering: Pawn view staff workflow, Cannabis view staff workflow, Fireworks view + campaign scheduler, Admin portal (inventory, pawn inbox, eBay, CRM).

**Sprint:** S19 | **Week:** W38","type:feature,priority:p0","M11 — Production Launch","open"
"Launch: Legal jurisdiction sign-off — indigenous commerce + Kanien'kéha language review","Obtain written sign-off from legal counsel on all jurisdiction disclosure copy. Obtain community sign-off on all Kanien'kéha phrases before publication. **HARD GATE — launch cannot proceed without this.**

**Sprint:** S16–S19","type:compliance,priority:p0","M11 — Production Launch","open"
"Launch: 7-day post-launch monitoring schedule — Sentry, GA4, Firebase Console","Set up daily post-launch monitoring for 7 days: Sentry error rate review, GA4 conversion goal verification per view, Firebase Console (Firestore reads/writes, function invocations, hosting bandwidth). Document findings in `/docs/reports/`.

**Sprint:** S19 | **Week:** W38–W39","type:feature,priority:p0,area:backend","M11 — Production Launch","open"
"ADR-001: Adopt Docs-as-Code with GitHub Projects as PM layer","**Status:** Accepted

Document the architectural decision to use Docs-as-Code philosophy with Markdown files in the repository as the single source of truth. GitHub Projects as the primary PM orchestration layer. No external PM tools (Jira/Asana).

Commit to `/docs/adr/ADR-001-docs-as-code.md`.

**Epic:** E1","type:adr,priority:p0","M1 — Pipelines & Codespaces","open"
"ADR-002: Three-view architecture with shared Firebase backend","**Status:** Accepted

Document the decision to implement three distinct public-facing views (Pawn/Cannabis/Fireworks) sharing a unified Firebase backend, inventory system, and admin portal. ViewContext + CSS custom properties for theming.

Commit to `/docs/adr/ADR-002-three-view-architecture.md`.

**Epic:** E2","type:adr,priority:p0","M2 — Three-View Design System","open"
"ADR-003: Algolia over Firestore full-text search","**Status:** Accepted

Document the decision to adopt Algolia from Sprint 12 (moved earlier per gap analysis). Rationale: typo-tolerance and faceted filtering are critical for collectibles discovery. Firestore prefix tokens used as interim solution in Sprints 1–11.

Commit to `/docs/adr/ADR-003-algolia-search.md`.

**Epic:** E13","type:adr,priority:p1","M6 — Merchandising Live","open"
"ADR-004: Staff-side AI only — no customer-facing AI in v5.0","**Status:** Accepted

Document the decision to restrict AI (OpenAI GPT-4o) to staff-facing operations only (description generation, tagging, pricing suggestions). No customer-facing AI chatbot in this build.

Commit to `/docs/adr/ADR-004-staff-only-ai.md`.

**Epic:** E18","type:adr,priority:p1","M8 — AI & Post-Sale","open"
